,Rank,Last Year's Rank,Average Annual pay per player,% change from last year's survey,Total Payroll,Rank of Total Payroll,Average player 5 year earnings,% change over last 5 years,Team,League
45,46,60,4173291,17.1,62599372,116,21026460.0,-10.0,Portland Trail Blazers,NBA
46,47,56,4158080,14.2,103952000,45,,,Borussia Dortmund,Bundesliga
47,48,49,4140362,1.6,132491596,17,18435248.0,72.0,Texas Rangers,MLB
48,49,36,4126684,-8.3,61900253,122,22668620.0,-25.0,Detroit Pistons,NBA
49,50,81,4125552,50.8,61883276,123,19751680.0,0.0,Houston Rockets,NBA
50,51,61,4074918,15.0,101872960,52,,,Schalke,Bundesliga
51,52,65,4072630,22.1,61089456,124,19654596.0,-25.0,Cleveland Cavaliers,NBA
52,53,47,4054756,-1.9,60821336,126,19799676.0,21.0,Charlotte Bobcats,NBA
53,54,51,4037692,-0.1,100942292,53,16327740.0,95.0,Tottenham,EPL
54,55,57,3877656,6.6,9545000,229,,,Pune Warriors,IPL
55,56,53,3857870,-2.9,108020360,40,20092228.0,-13.0,St Louis Cardinals,MLB
56,57,34,3807731,-17.5,57115966,139,22474920.0,-16.0,Atlanta Hawks,NBA
57,58,79,3804605,37.6,102724338,48,16113760.0,30.0,Milwaukee Brewers,MLB
58,59,44,3788245,-9.2,56823668,140,20483424.0,-3.0,Milwaukee Bucks,NBA
59,60,37,3772348,-15.3,56585215,141,22630712.0,-15.0,Utah Jazz,NBA
60,61,71,3726628,25.5,111798833,33,13505232.0,72.0,Arizona Diamondbacks,MLB
61,62,78,3688114,33.3,99579071,54,15463448.0,26.0,Colorado Rockies,MLB
62,63,52,3525842,-11.6,52887627,149,23079108.0,-24.0,Orlando Magic,NBA
63,64,62,3435551,1.5,48097710,157,20251556.0,-32.0,Phoenix Suns,NBA
64,65,46,3405417,-17.6,112378771,32,15160184.0,58.0,Cincinnati Reds,MLB
65,66,82,3396500,25.5,84912500,69,16762720.0,27.0,Minnesota Twins,MLB
